% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 17:25"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-7.066369443706882,-7.075763060267472,496.84172383388704,3.7302693693169255E15,3.6434317256737535E15,-8.725146951445137E15,7.982237829820404E14,1.1921986303898148E15,-2.356071105799336E15,1.039948350236677E16,1.065254927386308E16,-2.3679410192608804E16,3.210524204786882E15,2.4761125634109575E15,-6.39635924515398E15,2.0442875171631964E16,2.1843737849870932E16,-4.5370198330062344E16,8.106917829719667E15,3.320851420480282E15,-1.2257207109710056E16
-10,0,496.0091653388107,3.2689507770681225E15,3.3133163549065844E14,-5.589439809626264E15,5.696447479306383E15,-1.8797530697492303E14,-9.742324980908166E15,9.353754490685112E15,2.3287052330736345E15,-1.509479049511741E16,1.6304063175029774E16,-1.3298445350521648E15,-2.6315139814600912E16,1.8826858923698512E16,7.139823661290795E15,-2.8784322348346508E16,3.2820572622748676E16,-4.0834527726130605E15,-5.0184079693760952E16
-9.831588995063482,-1.827527792441644,496.91678160819305,3.412252052462085E15,3.827590075176039E14,-5.718744311294081E15,3.9171439802497365E15,9.50447588952992E14,-6.724699165620761E15,9.551633531278616E15,2.0941392160197625E15,-1.5525012921679292E16,1.133936615361957E16,1.8607300135279118E15,-1.825901865300462E16,1.8847745351023756E16,5.990026867140741E15,-2.9756540186577672E16,2.3053548407193376E16,2.2188641084312262E15,-3.499898635959888E16
-9.860220441910542,-1.6661491040508611,494.9066987011142,4.976131555545585E15,2.1356316580493002E15,-8.984118640553745E15,6.481951174276567E15,3.493853238084226E13,-1.0925602544110166E16,1.4008579216784782E16,7.492641428119813E15,-2.4123660763298012E16,1.8746673654303204E16,-1.0336459162801041E15,-2.9343188700880516E16,2.7786345710756592E16,1.7534369001114462E16,-4.5738621502473E16,3.8082141595924712E16,-4.0944094287269985E15,-5.5641036307192696E16
-9.510790334833441,-3.089476850024742,495.51789194946264,4.963750069638905E15,2.24393611504416E15,-9.287127908526094E15,4.864119964756761E15,8.897955325643652E14,-8.41001334548115E15,1.385799447318861E16,7.510928632678269E15,-2.5017481782994536E16,1.4318012206470678E16,1.348961080591567E15,-2.2659224116961608E16,2.7278392909650252E16,1.705363339044514E16,-4.75845838545496E16,2.952561905997564E16,5.878000881335069E14,-4.3103119801733992E16
-5.697138022069295,-8.218431623947014,496.8026059232619,3.1150724595236495E15,4.4516567684622415E15,-9.102585289630406E15,5.244359385487297E13,5.29845468790688E14,-7.794661456697289E14,8.799080407893195E15,1.2778862044629336E16,-2.469689867888338E16,1.2752687851197642E15,7.345901369380174E14,-2.1167927020492318E15,1.750582146264347E16,2.5791904367245212E16,-4.730642594383988E16,4.565238997044695E15,8.878820586526969E13,-4.0560394865464575E15
-6.432531906214245,-7.6565353310446955,495.57844702431925,4.4545942638148545E15,5.530258759760032E15,-1.2170264057701808E16,1.4379341265618125E15,4.591902884217371E14,-2.1892648430415005E15,1.252529928946063E16,1.6026669530264388E16,-3.279675946757892E16,5.391289177450402E15,2.471350657499867E14,-5.90290934424214E15,2.481590736007336E16,3.2615198989335896E16,-6.2402872148934488E16,1.311780795775946E16,-1.3991408385174628E15,-1.1234406787870046E16
-4.34246905426566,-9.007938860402255,496.8456064270476,2.3150638762076385E15,4.850975878868405E15,-8.990032962858355E15,-4.263132143768255E14,-2.204954649877614E14,6.439973907737248E14,6.697619103141075E15,1.3808290577903104E16,-2.439898542417672E16,5.855159478288915E12,-1.2177864831440585E15,1.745357257774057E15,1.3609734598137552E16,2.7662436293941696E16,-4.6749400470993152E16,2.1891912220606232E15,-3.4948510710225075E15,3.3418520866416325E15
-3.1151044049624756,-9.502427297600512,495.95691789086163,2.114720005667228E15,6.157769843102552E15,-1.1131889177814534E16,-2.1875636268234465E13,-1.4075927712230578E15,2.300553699733794E15,6.360610025897025E15,1.752390691226925E16,-3.0059383884569236E16,1.4309742115358452E15,-4.516922445381431E15,6.209360272693809E15,1.3351200022943664E16,3.5098098292341012E16,-5.7308270495247272E16,5.533158089592764E15,-9.961470272299544E15,1.183580690352476E16
-9.454873118693957,-3.256589367635776,493.92096978332086,6.470875197437425E15,4.4222940470007525E15,-1.2630442521239934E16,7.013836382068464E15,-8.755998281460006E13,-1.1039684354597182E16,1.8067166715663108E16,1.3842347391713426E16,-3.3753071166098084E16,2.0515609113856512E16,-1.6320349126076418E15,-2.9507792386795588E16,3.5566319678369132E16,2.9969563457688076E16,-6.3688617387984504E16,4.2080033670625448E16,-5.739149310367357E15,-5.5683353288968152E16
