% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 15:33"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-9.23548530396115,-3.83477590190371,499.99999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8.819300232434928,-4.713803497195574,498.296115513859,2894762.1590052056,1083192.3971963627,-4634468.075119168,1358585.8394962514,1485190.2382949607,-2888138.0184849906,7955474.96112614,3447824.0972918193,-1.2668711039173305E7,4171761.344212732,3560257.339203323,-7895666.663411421,1.5451641639276704E7,7567349.61238939,-2.4480237269214403E7,8911222.504113743,5950851.230291081,-1.525641075131912E7
-9.230590902986693,-3.8465818048885083,496.83114905575025,4218306.590299889,1566573.5230395712,-7554656.687416482,3096480.5960798184,1541443.7075067693,-5805698.2650161525,1.1691456359568862E7,5271517.344246327,-2.047304309279221E7,9266187.7355012,3349679.306416307,-1.573769703448811E7,2.289041915240399E7,1.2024592152320815E7,-3.922960561180863E7,1.9393372321032587E7,4867112.313476443,-3.0160211066949993E7
-3.0105130559690583,-9.536079442823441,498.1181933919286,979504.5866535745,3638338.394822337,-5891001.726012392,-976529.9339659241,-547869.3746313563,1284868.254675172,2957096.391077097,1.0226963782538941E7,-1.6095793847881515E7,-1897622.7663090904,-1821120.3904047648,3509413.562047381,6233120.567707404,2.0284347751458276E7,-3.1086790220649667E7,-2232866.7594044544,-4120809.699624527,6777099.091858937
-1.9593100244503956,-9.806165222391538,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.281743880262362,-9.917516454506643,498.61586984283514,81178.58761832964,2897259.189094623,-4227830.707516638,-854172.8772784153,-1089900.2353336313,1747532.2337011644,490321.8311533451,8109877.264851058,-1.1581236891330475E7,-1767768.1307711594,-3144613.0591292134,4785504.962146432,1445904.8725285165,1.6023626622544229E7,-2.2422555264694057E7,-2361892.2630269188,-6384045.8888449315,9263512.301230676
0,-9.999999999999998,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-9.999999999999998,498.00823719777003,-381806.11237645283,3462944.455830216,-5428491.636236787,-674325.882154974,-1981609.0686955564,3111124.4078873,-595633.0807675923,9800227.872154182,-1.482144607940969E7,-1061675.7795320658,-5607591.913473717,8492558.758762913,-318704.9689283423,1.9557321062061604E7,-2.8605246049943577E7,-598933.9721023726,-1.1190567702990899E7,1.6388672528041946E7
-8.284756374667328,-5.600251049052094,496.7440671778983,4380017.387221674,2831824.5061776903,-8772534.447823124,2002282.8246099988,1601202.2899020573,-4301323.233766642,1.2133274111645222E7,8609073.320461167,-2.3762601630640686E7,6445493.00063308,3483387.6756724245,-1.1654882989377199E7,2.374341439827433E7,1.824884786321188E7,-4.5511857955837674E7,1.4259478834956912E7,5070076.469462298,-2.2325862618103947E7
-8.771916722239231,-4.801403650819173,495.0565566581512,5930169.2253505485,4155429.01899708,-1.2303608868534366E7,4483294.0837577125,977184.1367032237,-7530237.075135798,1.6483669677667733E7,1.273753325637148E7,-3.302154652629328E7,1.3586838040866403E7,1394222.3956165176,-2.021440357235336E7,3.236001454976044E7,2.7173671441951506E7,-6.267144851668389E7,2.872511861321867E7,321224.9166275586,-3.836721470735856E7
