% Model,defect_cell_only_meters.mph
% Version,COMSOL 6.1.0.252
% Date,"May 17 2023, 06:32"
% Dimension,3
% Nodes,2823
% Expressions,30
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,m
% x,y,z,u (m) @ lambda=1,v (m) @ lambda=1,w (m) @ lambda=1,u (m) @ lambda=2,v (m) @ lambda=2,w (m) @ lambda=2,u (m) @ lambda=3,v (m) @ lambda=3,w (m) @ lambda=3,u (m) @ lambda=4,v (m) @ lambda=4,w (m) @ lambda=4,u (m) @ lambda=5,v (m) @ lambda=5,w (m) @ lambda=5,u (m) @ lambda=6,v (m) @ lambda=6,w (m) @ lambda=6,u (m) @ lambda=7,v (m) @ lambda=7,w (m) @ lambda=7,u (m) @ lambda=8,v (m) @ lambda=8,w (m) @ lambda=8,u (m) @ lambda=9,v (m) @ lambda=9,w (m) @ lambda=9,u (m) @ lambda=10,v (m) @ lambda=10,w (m) @ lambda=10
0.3,0.2,-0.6,2.7978256530405003,-0.015444915374672364,0.7160048901267947,1.8884590418008842,-0.13937687828320697,0.2555913713736394,-1.7250186719073785E-4,0.061419917308803175,1.634935261541604,0.003733464629231351,2.333912693273122,-1.8699066863893312,-3.6578301392742016,-0.9297486971207075,-0.4002693337236191,4.299830226504788,1.0059673198881653,0.7605405370522843,0.001858305795485132,2.0807731825683935,-0.2736140668340282,-3.040243819272897,-0.21535369712068533,-1.5245089443651483,3.3941173697831517,2.122585927501566,-0.12865957823149965,-4.005424616953941,-2.3837912329828232,-0.1093947137925911
0.24549194411180647,0.2,-0.49382856320746904,2.288306060865033,-0.010528385904552646,0.45454756530738555,1.69342856489038,-0.09391763045498704,0.15663108862060543,0.0022411349069185633,0.05735839316124836,1.634787128231314,-4.2860864361684263E-4,1.9082759596496743,-1.8691985233573583,-3.336563507256147,-0.5739669113027485,-0.23915963037319962,3.7193012680580257,0.6181530189427064,0.46673753974816273,6.023136321479844E-4,1.968403385634723,-0.2769561749204205,-1.8942797247691414,-0.12060346471262086,-0.9321559634704285,3.4501063453103176,1.3212565153029914,-0.08883996742433563,-3.856211818603979,-1.464674201369281,-0.047752547616291656
0.3,0.24735409544264322,-0.549680743584256,2.561846054484984,-0.015790451736989113,0.7163075630442879,1.8449509382958338,-0.14238973695436893,0.2581821304554265,0.0021165964691144653,0.058519842094877074,1.6369501002885716,0.0018878561605444428,2.1315477737520956,-1.6789098808077088,-3.220280454048966,-0.9247719009735925,-0.40296159032754336,3.713073990034552,1.0033252612016281,0.7596239590097269,0.0027756288637082504,2.026097236376454,-0.22184707822142788,-2.4420369745893,-0.20858663880356773,-1.5288278670827646,2.7249836242809446,2.132359693784735,-0.14591594034047087,-3.1566963157753913,-2.3918009630111423,-0.08845170627069311
0.30000000000000004,0.2,-0.5285714285714286,2.4555509906261546,-0.01600236786482071,0.715988438628405,1.75970190732833,-0.14446845969027344,0.25566913837401617,0.0018280196730056557,0.0572335888761044,1.6341097009338075,2.1873815948004438E-4,2.048529091458233,-1.868189852190514,-3.4502972214314966,-0.9184810391629155,-0.399814102745646,3.919880888125251,0.9952944557380613,0.7591458056844259,0.0011336348287900653,2.0060023302477394,-0.27398321281305893,-2.2827711158790427,-0.2020697811769489,-1.5173669897723014,3.4512005482133046,2.13372647931344,-0.1284427367247928,-3.934968952742277,-2.387277329943774,-0.10724154021504141
0.3,0.2769230769230768,-0.6,2.8059901032536434,-0.015478842122318414,0.7164074878697947,1.9636456004379215,-0.13929193718813918,0.2586812312142012,7.303870554367392E-4,0.06186883953826454,1.6394525615706959,0.005718295390155107,2.3299428572199954,-1.562548825039631,-3.174394981145795,-0.928200078151015,-0.3979960741235757,3.7657831801757107,1.0039603597192535,0.7492982302314691,0.006399786744809956,2.074321013444038,-0.1911091092847055,-2.929618974594564,-0.21342961418984085,-1.5337984368336661,2.207165849864708,2.098752780595616,-0.18252741441921022,-2.655314721249088,-2.3527165769046063,-0.03845022158146247
0.2361328285952658,0.27632239194188957,-0.533427062906547,2.48693061911535,-0.009083813949873128,0.4106217675921162,1.8449082872289444,-0.08034396693127534,0.14552075736817963,0.0022499869346173924,0.05867663445518547,1.640175985842423,0.0014607672259558677,2.0650985313821413,-1.5652124627024238,-2.993322892686891,-0.5272350704876245,-0.22319475146495818,3.4290326000760287,0.5681191035377874,0.4251971986130673,0.001526328806915423,2.007353475786035,-0.19137736839630826,-2.2168547141549273,-0.11637545433754087,-0.8597039602982747,2.278937631133698,1.1695930402998547,-0.09450691021234124,-2.6207771238224136,-1.3032866643388312,-0.030499833402104118
0.1436953976342255,0.2682640067022789,-0.5265769785445394,2.4529858678459338,-1.1564422985398625E-4,-0.02998091209682285,1.8239128066176444,0.005395735713699139,-0.010655237610356581,8.891701458349142E-4,0.05896770076374177,1.6403083068933952,0.0015544884700225735,2.038168785433705,-1.5988516802436028,-3.0212281076114063,0.038491382209911135,0.015902774481102108,3.4452532313382265,-0.0404526930179837,-0.030942693340443455,-0.0013204672039528959,2.00139125643372,-0.2013835317325788,-2.1473752578726484,0.007595631386436875,0.062091154184401955,2.3985172937741215,-0.0844072407359569,0.0065618091779648495,-2.7414504892583262,0.09345834287398037,0.002703932155700681
0.07184769881711275,0.25780905107246105,-0.5381288610643977,2.5074200668522484,0.006865296569449056,-0.3724093505324551,1.8344590717777816,0.07221145302077098,-0.13179535117228405,1.4846587462241572E-4,0.05909325353765632,1.6390210567134031,0.00158658848208412,2.0849353801180324,-1.6401053790993272,-3.1205486434889447,0.47846000539692873,0.20250739983771326,3.5787824761860336,-0.5138495014139332,-0.3878427125607897,-0.0035308683799343313,2.0147085353320047,-0.2117317821549355,-2.2940792858455903,0.10423179029199475,0.7785456176292983,2.5594602752951676,-1.066904388623635,0.07954736233680393,-2.9456892737944997,1.1887633611005048,0.036672802969188706
0.06173821957477461,0.2,-0.4912324760095968,2.2757673190065613,0.008435530506785359,-0.41976993495209486,1.688340942332058,0.0861605283198202,-0.144284761809307,-3.8278033592168206E-4,0.05747600522682216,1.6346686455371364,0.0035649513438117068,1.8974410323741433,-1.869682007560239,-3.3273954613932926,0.529709602321308,0.21888752378818122,3.7034536199921466,-0.5685971048662185,-0.42940214437443375,-0.002805138641990598,1.9657873438475866,-0.27691460864095857,-1.8639434610905108,0.10916033121422858,0.8585684514628138,3.4470908337419086,-1.2176284617592021,0.08353455791753973,-3.8464093995049153,1.3480880841205714,0.04149869926753534
0.03592384940855637,0.2289045255362305,-0.5333501448179131,2.4814739240541934,0.010662849289014733,-0.5438934107243305,1.7969091837076698,0.10763137922276529,-0.19319529033830696,2.0422116510619554E-5,0.058385524606877265,1.6362895819722327,0.002197310294425469,2.0668249651470694,-1.7544012960215083,-3.2860241389458924,0.6986813265886321,0.2998439139971358,3.750508805517441,-0.7536060454735423,-0.5727358401983305,-0.0038274449415536625,2.011489065078123,-0.24251910861161047,-2.289383331181229,0.15306796402511894,1.1438298848517547,3.0130020861905873,-1.5966354528876083,0.10357092546892875,-3.4500929233364483,1.7833688637501734,0.07233884381151537
